Album,Artist,Track ID,Track Name,Track URI,acousticness,danceability,popularity,speechiness,valence,liveness,instrumentalness,mode,energy
USB,Fred again..,4sHXKCcNR8CSifCNUhYwuW,stayinit,spotify:track:4sHXKCcNR8CSifCNUhYwuW,0.003,0.699,57,0.122,0.132,0.244,0.00511,0,0.755
11:11 (Deluxe),Chris Brown,6WUkjtKniX6z1JpH3twAry,Angel Numbers / Ten Toes,spotify:track:6WUkjtKniX6z1JpH3twAry,0.192,0.406,27,0.0501,0.0905,0.175,0.0,0,0.5
Skin to Skin,Amira Elfeky,7AMelgIvI1tSFC1QUQPl5Q,A Dozen Roses,spotify:track:7AMelgIvI1tSFC1QUQPl5Q,3.2E-5,0.407,43,0.0436,0.286,0.436,3.23E-4,1,0.744
Gamma,Gesaffelstein,39A7HJxjtpSTTxnVgoVwuD,Psycho,spotify:track:39A7HJxjtpSTTxnVgoVwuD,0.0111,0.611,47,0.0461,0.341,0.0997,0.653,1,0.926
My Fun,Suki Waterhouse,306xT15GTuDs3NyopIANrh,My Fun,spotify:track:306xT15GTuDs3NyopIANrh,0.115,0.445,25,0.134,0.847,0.274,0.00263,1,0.699
11:11 (Deluxe),Chris Brown,7tCXAPpAmUkdwrMtbCwoPH,Closer,spotify:track:7tCXAPpAmUkdwrMtbCwoPH,0.0352,0.485,18,0.107,0.215,0.113,0.0,0,0.635
Country,Medium Build,6nUrMYtDV8ESLTiPebQEqY,Relief,spotify:track:6nUrMYtDV8ESLTiPebQEqY,0.487,0.634,42,0.0389,0.579,0.163,0.013,1,0.485
Skin to Skin,Amira Elfeky,2iiBRLeAWVr20kf1XN4zZu,Secrets,spotify:track:2iiBRLeAWVr20kf1XN4zZu,0.00405,0.433,55,0.0575,0.462,0.0948,0.00702,0,0.881
My Fun,Suki Waterhouse,6t3RJKJh8DYIaYh82Xy2LJ,Faded,spotify:track:6t3RJKJh8DYIaYh82Xy2LJ,0.338,0.578,23,0.0253,0.46,0.241,0.0,1,0.688
Sweet Boy,Malcolm Todd,3jcw3xe2YsP5IlMwaahetO,Thailand,spotify:track:3jcw3xe2YsP5IlMwaahetO,0.301,0.568,43,0.0842,0.401,0.255,0.0,0,0.558
Only God Was Above Us,Vampire Weekend,3Oko2TgOzXPLlE2dbbsNKV,Connect,spotify:track:3Oko2TgOzXPLlE2dbbsNKV,0.285,0.401,64,0.11,0.419,0.348,0.105,1,0.661
